Ext_ID,Factors,Severity_Score,LID
EXT-L2167,Normal,12,L2167
EXT-L2168,Weather,9,L2168
EXT-L2169,Normal,9,L2169
EXT-L2170,Weather,12,L2170
EXT-L2171,Weather,14,L2171
EXT-L2172,Weather,11,L2172
EXT-L2173,Normal,16,L2173
EXT-L2174,Normal,10,L2174
EXT-L2175,Weather,10,L2175
EXT-L2176,Weather,11,L2176
EXT-L2177,Weather,10,L2177
EXT-L2178,Weather,13,L2178
EXT-L2179,Normal,11,L2179
EXT-L2180,Weather,13,L2180
EXT-L2181,Normal,11,L2181
EXT-L2182,Weather,14,L2182
EXT-L2183,Weather,9,L2183
EXT-L2184,Weather,4,L2184
EXT-L2185,Normal,13,L2185
EXT-L2186,Normal,8,L2186
EXT-L2187,Normal,7,L2187
EXT-L2188,Weather,7,L2188
EXT-L2189,Weather,16,L2189
EXT-L2190,Weather,8,L2190
EXT-L2191,Weather,11,L2191
EXT-L2192,Weather,12,L2192
EXT-L2193,Weather,8,L2193
EXT-L2194,Weather,13,L2194
EXT-L2195,Normal,13,L2195
EXT-L2196,Weather,10,L2196
EXT-L2197,Weather,13,L2197
EXT-L2198,Weather,11,L2198
EXT-L2199,Normal,9,L2199
EXT-L2200,Normal,19,L2200
EXT-L2201,Normal,19,L2201
EXT-L2202,Weather,5,L2202
EXT-L2203,Normal,7,L2203
EXT-L2204,Normal,11,L2204
EXT-L2205,Weather,10,L2205
EXT-L2206,Weather,10,L2206
EXT-L2207,Weather,13,L2207
EXT-L2208,Weather,10,L2208
EXT-L2209,Weather,10,L2209
EXT-L2210,Weather,10,L2210
EXT-L2211,Weather,11,L2211
EXT-L2212,Normal,10,L2212
EXT-L2213,Weather,8,L2213
EXT-L2214,Weather,13,L2214
EXT-L2215,Normal,1,L2215
EXT-L2216,Weather,12,L2216
EXT-L2217,Normal,2,L2217
EXT-L2218,Normal,11,L2218
EXT-L2219,Normal,12,L2219
EXT-L2220,Weather,14,L2220
EXT-L2221,Weather,11,L2221
EXT-L2222,Weather,12,L2222
EXT-L2223,Weather,3,L2223
EXT-L2224,Normal,12,L2224
EXT-L2225,Weather,13,L2225
EXT-L2226,Weather,10,L2226
EXT-L2227,Normal,9,L2227
EXT-L2228,Normal,13,L2228
EXT-L2229,Normal,2,L2229
EXT-L2230,Normal,12,L2230
EXT-L2231,Weather,13,L2231
EXT-L2232,Weather,12,L2232
EXT-L2233,Normal,8,L2233
EXT-L2234,Normal,9,L2234
EXT-L2235,Weather,6,L2235
EXT-L2236,Weather,15,L2236
EXT-L2237,Weather,15,L2237
EXT-L2238,Weather,10,L2238
EXT-L2239,Weather,10,L2239
EXT-L2240,Weather,15,L2240
EXT-L2241,Normal,12,L2241
EXT-L2242,Weather,16,L2242
EXT-L2243,Weather,10,L2243
EXT-L2244,Weather,11,L2244
EXT-L2245,Weather,11,L2245
EXT-L2246,Weather,12,L2246
EXT-L2247,Weather,13,L2247
EXT-L2248,Weather,10,L2248
EXT-L2249,Weather,12,L2249
EXT-L2250,Weather,10,L2250
EXT-L2251,Weather,12,L2251
EXT-L2252,Normal,8,L2252
EXT-L2253,Weather,11,L2253
EXT-L2254,Weather,9,L2254
EXT-L2255,Normal,13,L2255
EXT-L2256,Weather,10,L2256
EXT-L2257,Normal,10,L2257
EXT-L2258,Normal,15,L2258
EXT-L2259,Normal,7,L2259
EXT-L2260,Weather,11,L2260
EXT-L2261,Normal,10,L2261
EXT-L2262,Normal,12,L2262
EXT-L2263,Weather,12,L2263
EXT-L2264,Normal,2,L2264
EXT-L2265,Normal,11,L2265
EXT-L2266,Weather,2,L2266
EXT-L2267,Normal,9,L2267
EXT-L2268,Normal,8,L2268
EXT-L2269,Normal,10,L2269
EXT-L2270,Normal,8,L2270
EXT-L2271,Normal,5,L2271
EXT-L2272,Normal,30,L2272
EXT-L2273,Normal,2,L2273
EXT-L2274,Weather,12,L2274
EXT-L2275,Weather,11,L2275
EXT-L2276,Weather,10,L2276
EXT-L2277,Normal,12,L2277
EXT-L2278,Normal,6,L2278
EXT-L2279,Normal,30,L2279
EXT-L2280,Normal,10,L2280
EXT-L2281,Normal,15,L2281
EXT-L2282,Normal,6,L2282
EXT-L2283,Weather,10,L2283
EXT-L2284,Normal,7,L2284
EXT-L2285,Normal,13,L2285
EXT-L2286,Weather,14,L2286
EXT-L2287,Weather,7,L2287
EXT-L2288,Weather,14,L2288
EXT-L2289,Weather,10,L2289
EXT-L2290,Weather,14,L2290
EXT-L2291,Normal,10,L2291
EXT-L2292,Weather,8,L2292
EXT-L2293,Normal,7,L2293
EXT-L2294,Normal,8,L2294
EXT-L2295,Normal,16,L2295
EXT-L2296,Weather,10,L2296
EXT-L2297,Weather,10,L2297
EXT-L2298,Weather,9,L2298
EXT-L2299,Normal,8,L2299
EXT-L2300,Weather,21,L2300
EXT-L2301,Weather,13,L2301
EXT-L2302,Normal,4,L2302
EXT-L2303,Normal,9,L2303
EXT-L2304,Normal,10,L2304
EXT-L2305,Normal,9,L2305
EXT-L2306,Weather,14,L2306
EXT-L2307,Normal,11,L2307
EXT-L2308,Weather,7,L2308
EXT-L2309,Weather,16,L2309
EXT-L2310,Normal,9,L2310
EXT-L2311,Weather,10,L2311
EXT-L2312,Normal,10,L2312
EXT-L2313,Weather,8,L2313
EXT-L2314,Weather,12,L2314
EXT-L2315,Weather,10,L2315
EXT-L2316,Weather,12,L2316
EXT-L2317,Normal,12,L2317
EXT-L2318,Weather,8,L2318
EXT-L2319,Weather,12,L2319
EXT-L2320,Normal,15,L2320
EXT-L2321,Normal,2,L2321
EXT-L2322,Normal,17,L2322
EXT-L2323,Normal,11,L2323
EXT-L2324,Weather,8,L2324
EXT-L2325,Weather,13,L2325
EXT-L2326,Weather,11,L2326
EXT-L2327,Weather,14,L2327
EXT-L2328,Weather,10,L2328
EXT-L2329,Weather,10,L2329
EXT-L2330,Weather,13,L2330
EXT-L2331,Weather,7,L2331
EXT-L2332,Weather,5,L2332
EXT-L2333,Normal,9,L2333
EXT-L2334,Normal,5,L2334
EXT-L2335,Weather,8,L2335
EXT-L2336,Normal,12,L2336
EXT-L2337,Normal,5,L2337
EXT-L2338,Normal,7,L2338
EXT-L2339,Weather,17,L2339
EXT-L2340,Weather,17,L2340
EXT-L2341,Weather,10,L2341
EXT-L2342,Normal,18,L2342
EXT-L2343,Weather,13,L2343
EXT-L2344,Normal,12,L2344
EXT-L2345,Normal,11,L2345
EXT-L2346,Weather,10,L2346
EXT-L2347,Weather,13,L2347
EXT-L2348,Normal,13,L2348
EXT-L2349,Normal,12,L2349
EXT-L2350,Normal,13,L2350
EXT-L2351,Normal,9,L2351
EXT-L2352,Normal,15,L2352
EXT-L2353,Normal,10,L2353
EXT-L2354,Normal,5,L2354
EXT-L2355,Weather,14,L2355
EXT-L2356,Weather,13,L2356
EXT-L2357,Weather,14,L2357
EXT-L2358,Normal,12,L2358
EXT-L2359,Normal,10,L2359
EXT-L2360,Normal,14,L2360
EXT-L2361,Normal,11,L2361
EXT-L2362,Weather,7,L2362
EXT-L2363,Weather,16,L2363
EXT-L2364,Weather,14,L2364
EXT-L2365,Weather,10,L2365
EXT-L2366,Weather,11,L2366
EXT-L2367,Weather,7,L2367
EXT-L2368,Weather,7,L2368
EXT-L2369,Normal,9,L2369
EXT-L2370,Normal,9,L2370
EXT-L2371,Weather,8,L2371
EXT-L2372,Weather,14,L2372
EXT-L2373,Weather,13,L2373
EXT-L2374,Weather,13,L2374
EXT-L2375,Weather,12,L2375
EXT-L2376,Normal,9,L2376
EXT-L2377,Normal,9,L2377
EXT-L2378,Weather,14,L2378
EXT-L2379,Weather,12,L2379
EXT-L2380,Normal,12,L2380
EXT-L2381,Weather,15,L2381
EXT-L2382,Weather,11,L2382
EXT-L2383,Weather,14,L2383
EXT-L2384,Weather,12,L2384
EXT-L2385,Weather,11,L2385
EXT-L2386,Normal,8,L2386
EXT-L2387,Normal,13,L2387
EXT-L2388,Weather,8,L2388
EXT-L2389,Normal,13,L2389
EXT-L2390,Weather,14,L2390
EXT-L2391,Weather,9,L2391
EXT-L2392,Weather,13,L2392
EXT-L2393,Normal,6,L2393
EXT-L2394,Normal,2,L2394
EXT-L2395,Normal,10,L2395
EXT-L2396,Normal,9,L2396
EXT-L2397,Normal,1,L2397
EXT-L2398,Normal,12,L2398
EXT-L2399,Normal,2,L2399
EXT-L2400,Weather,11,L2400
EXT-L2401,Weather,12,L2401
EXT-L2402,Normal,16,L2402
EXT-L2403,Weather,9,L2403
EXT-L2404,Weather,3,L2404
EXT-L2405,Normal,9,L2405
EXT-L2406,Normal,22,L2406
EXT-L2407,Normal,6,L2407
EXT-L2408,Normal,2,L2408
EXT-L2409,Weather,11,L2409
EXT-L2410,Weather,11,L2410
EXT-L2411,Normal,18,L2411
EXT-L2412,Normal,19,L2412
EXT-L2413,Weather,10,L2413
EXT-L2414,Normal,6,L2414
EXT-L2415,Normal,5,L2415
EXT-L2416,Weather,14,L2416
EXT-L2417,Normal,11,L2417
EXT-L2418,Weather,8,L2418
EXT-L2419,Normal,13,L2419
EXT-L2420,Normal,10,L2420
EXT-L2421,Weather,11,L2421
EXT-L2422,Weather,12,L2422
EXT-L2423,Weather,12,L2423
EXT-L2424,Normal,10,L2424
EXT-L2425,Weather,10,L2425
EXT-L2426,Weather,12,L2426
EXT-L2427,Normal,11,L2427
EXT-L2428,Weather,7,L2428
EXT-L2429,Normal,6,L2429
EXT-L2430,Normal,12,L2430
EXT-L2431,Weather,10,L2431
EXT-L2432,Weather,10,L2432
EXT-L2433,Normal,5,L2433
EXT-L2434,Normal,5,L2434
EXT-L2435,Weather,10,L2435
EXT-L2436,Weather,11,L2436
EXT-L2437,Weather,12,L2437
EXT-L2438,Weather,13,L2438
EXT-L2439,Weather,13,L2439
EXT-L2440,Normal,27,L2440
EXT-L2441,Weather,12,L2441
EXT-L2442,Normal,7,L2442
EXT-L2443,Normal,16,L2443
EXT-L2444,Normal,7,L2444
EXT-L2445,Weather,12,L2445
EXT-L2446,Normal,9,L2446
EXT-L2447,Weather,10,L2447
EXT-L2448,Weather,9,L2448
EXT-L2449,Normal,13,L2449
EXT-L2450,Normal,7,L2450
EXT-L2451,Weather,10,L2451
EXT-L2452,Weather,11,L2452
EXT-L2453,Weather,11,L2453
EXT-L2454,Weather,13,L2454
EXT-L2455,Weather,11,L2455
EXT-L2456,Weather,12,L2456
EXT-L2457,Normal,11,L2457
EXT-L2458,Weather,10,L2458
EXT-L2459,Weather,11,L2459
EXT-L2460,Weather,13,L2460
EXT-L2461,Normal,8,L2461
EXT-L2462,Normal,7,L2462
EXT-L2463,Normal,10,L2463
EXT-L2464,Weather,13,L2464
EXT-L2465,Weather,14,L2465
EXT-L2466,Weather,12,L2466
EXT-L2467,Normal,8,L2467
EXT-L2468,Normal,4,L2468
EXT-L2469,Normal,7,L2469
EXT-L2470,Normal,20,L2470
EXT-L2471,Normal,11,L2471
EXT-L2472,Normal,3,L2472
EXT-L2473,Normal,10,L2473
EXT-L2474,Normal,14,L2474
EXT-L2475,Weather,15,L2475
EXT-L2476,Weather,11,L2476
EXT-L2477,Normal,13,L2477
EXT-L2478,Weather,14,L2478
EXT-L2479,Normal,17,L2479
EXT-L2480,Normal,9,L2480
EXT-L2481,Normal,28,L2481
EXT-L2482,Weather,18,L2482
EXT-L2483,Normal,12,L2483
EXT-L2484,Weather,10,L2484
EXT-L2485,Weather,14,L2485
EXT-L2486,Weather,9,L2486
EXT-L2487,Weather,10,L2487
EXT-L2488,Weather,6,L2488
EXT-L2489,Normal,9,L2489
EXT-L2490,Normal,11,L2490
EXT-L2491,Normal,9,L2491
EXT-L2492,Normal,6,L2492
EXT-L2493,Normal,6,L2493
EXT-L2494,Normal,7,L2494
EXT-L2495,Weather,13,L2495
EXT-L2496,Normal,10,L2496
EXT-L2497,Weather,13,L2497
EXT-L2498,Weather,14,L2498
EXT-L2499,Weather,13,L2499
EXT-L2500,Normal,12,L2500
EXT-L2501,Normal,14,L2501
EXT-L2502,Normal,7,L2502
EXT-L2503,Weather,7,L2503
EXT-L2504,Weather,14,L2504
EXT-L2505,Weather,12,L2505
EXT-L2506,Normal,11,L2506
EXT-L2507,Weather,9,L2507
EXT-L2508,Weather,9,L2508
EXT-L2509,Weather,10,L2509
EXT-L2510,Weather,10,L2510
EXT-L2511,Weather,10,L2511
EXT-L2512,Weather,11,L2512
EXT-L2513,Weather,16,L2513
EXT-L2514,Weather,13,L2514
EXT-L2515,Weather,10,L2515
EXT-L2516,Weather,10,L2516
EXT-L2517,Weather,11,L2517
EXT-L2518,Normal,10,L2518
EXT-L2519,Normal,12,L2519
EXT-L2520,Normal,11,L2520
EXT-L2521,Weather,14,L2521
EXT-L2522,Normal,7,L2522
EXT-L2523,Normal,11,L2523
EXT-L2524,Normal,9,L2524
EXT-L2525,Normal,2,L2525
EXT-L2526,Weather,8,L2526
EXT-L2527,Weather,4,L2527
EXT-L2528,Weather,10,L2528
EXT-L2529,Normal,11,L2529
EXT-L2530,Weather,10,L2530
EXT-L2531,Weather,9,L2531
EXT-L2532,Normal,14,L2532
EXT-L2533,Normal,6,L2533
EXT-L2534,Weather,6,L2534
EXT-L2535,Normal,3,L2535
EXT-L2536,Normal,11,L2536
EXT-L2537,Normal,11,L2537
EXT-L2538,Weather,9,L2538
EXT-L2539,Normal,9,L2539
EXT-L2540,Normal,10,L2540
EXT-L2541,Normal,4,L2541
EXT-L2542,Weather,12,L2542
EXT-L2543,Normal,2,L2543
EXT-L2544,Normal,18,L2544
EXT-L2545,Normal,8,L2545
EXT-L2546,Normal,13,L2546
EXT-L2547,Weather,11,L2547
EXT-L2548,Normal,4,L2548
EXT-L2549,Normal,9,L2549
EXT-L2550,Weather,14,L2550
EXT-L2551,Weather,11,L2551
EXT-L2552,Weather,9,L2552
EXT-L2553,Weather,12,L2553
EXT-L2554,Weather,12,L2554
EXT-L2555,Weather,10,L2555
EXT-L2556,Weather,14,L2556
EXT-L2557,Weather,12,L2557
EXT-L2558,Weather,11,L2558
EXT-L2559,Normal,16,L2559
EXT-L2560,Normal,7,L2560
EXT-L2561,Normal,13,L2561
EXT-L2562,Weather,6,L2562
EXT-L2563,Normal,15,L2563
EXT-L2564,Weather,12,L2564
EXT-L2565,Weather,8,L2565
EXT-L2566,Weather,11,L2566
EXT-L2567,Weather,8,L2567
EXT-L2568,Normal,13,L2568
EXT-L2569,Normal,8,L2569
EXT-L2570,Weather,7,L2570
EXT-L2571,Normal,6,L2571
EXT-L2572,Normal,11,L2572
EXT-L2573,Normal,10,L2573
EXT-L2574,Normal,6,L2574
EXT-L2575,Normal,8,L2575
EXT-L2576,Normal,10,L2576
EXT-L2577,Normal,5,L2577
EXT-L2578,Weather,11,L2578
EXT-L2579,Normal,13,L2579
EXT-L2580,Normal,13,L2580
EXT-L2581,Normal,11,L2581
EXT-L2582,Weather,14,L2582
EXT-L2583,Weather,8,L2583
EXT-L2584,Normal,14,L2584
EXT-L2585,Weather,9,L2585
EXT-L2586,Weather,11,L2586
EXT-L2587,Weather,5,L2587
EXT-L2588,Normal,13,L2588
EXT-L2589,Normal,12,L2589
EXT-L2590,Weather,2,L2590
EXT-L2591,Weather,9,L2591
EXT-L2592,Normal,9,L2592
EXT-L2593,Normal,19,L2593
EXT-L2594,Weather,21,L2594
EXT-L2595,Normal,12,L2595
EXT-L2596,Normal,11,L2596
EXT-L2597,Weather,9,L2597
EXT-L2598,Weather,9,L2598
EXT-L2599,Weather,11,L2599
EXT-L2600,Weather,13,L2600
EXT-L2601,Normal,11,L2601
EXT-L2602,Weather,6,L2602
EXT-L2603,Normal,9,L2603
EXT-L2604,Weather,8,L2604
EXT-L2605,Weather,12,L2605
EXT-L2606,Weather,11,L2606
EXT-L2607,Weather,9,L2607
EXT-L2608,Weather,10,L2608
EXT-L2609,Normal,15,L2609
EXT-L2610,Weather,13,L2610
EXT-L2611,Normal,3,L2611
EXT-L2612,Normal,3,L2612
EXT-L2613,Weather,10,L2613
EXT-L2614,Normal,12,L2614
EXT-L2615,Weather,11,L2615
EXT-L2616,Weather,15,L2616
EXT-L2617,Weather,10,L2617
EXT-L2618,Weather,11,L2618
EXT-L2619,Weather,8,L2619
EXT-L2620,Normal,15,L2620
EXT-L2621,Weather,9,L2621
EXT-L2622,Normal,19,L2622
EXT-L2623,Normal,9,L2623
EXT-L2624,Weather,6,L2624
EXT-L2625,Normal,3,L2625
EXT-L2626,Weather,10,L2626
EXT-L2627,Weather,13,L2627
EXT-L2628,Weather,13,L2628
EXT-L2629,Weather,13,L2629
EXT-L2630,Weather,6,L2630
EXT-L2631,Weather,14,L2631
EXT-L2632,Weather,11,L2632
EXT-L2633,Weather,7,L2633
EXT-L2634,Weather,15,L2634
EXT-L2635,Normal,14,L2635
EXT-L2636,Weather,9,L2636
EXT-L2637,Normal,12,L2637
EXT-L2638,Weather,13,L2638
EXT-L2639,Weather,14,L2639
EXT-L2640,Weather,7,L2640
EXT-L2641,Weather,13,L2641
EXT-L2642,Weather,11,L2642
EXT-L2643,Weather,11,L2643
EXT-L2644,Weather,11,L2644
EXT-L2645,Normal,16,L2645
EXT-L2646,Weather,15,L2646
EXT-L2647,Weather,10,L2647
EXT-L2648,Weather,14,L2648
EXT-L2649,Normal,12,L2649
EXT-L2650,Weather,14,L2650
EXT-L2651,Weather,9,L2651
EXT-L2652,Weather,13,L2652
EXT-L2653,Weather,12,L2653
EXT-L2654,Weather,11,L2654
EXT-L2655,Weather,14,L2655
EXT-L2656,Weather,10,L2656
EXT-L2657,Normal,12,L2657
EXT-L2658,Weather,13,L2658
EXT-L2659,Weather,14,L2659
EXT-L2660,Normal,14,L2660
EXT-L2661,Weather,11,L2661
EXT-L2662,Weather,14,L2662
EXT-L2663,Normal,14,L2663
EXT-L2664,Normal,14,L2664
EXT-L2665,Weather,13,L2665
EXT-L2666,Weather,11,L2666
EXT-L2667,Normal,19,L2667
EXT-L2668,Normal,5,L2668
EXT-L2669,Normal,16,L2669
EXT-L2670,Normal,8,L2670
EXT-L2671,Weather,16,L2671
EXT-L2672,Weather,11,L2672
EXT-L2673,Weather,10,L2673
EXT-L2674,Weather,7,L2674
EXT-L2675,Weather,12,L2675
EXT-L2676,Weather,12,L2676
EXT-L2677,Weather,13,L2677
EXT-L2678,Weather,9,L2678
EXT-L2679,Weather,6,L2679
EXT-L2680,Weather,16,L2680
EXT-L2681,Normal,14,L2681
EXT-L2682,Weather,12,L2682
EXT-L2683,Normal,2,L2683
EXT-L2684,Normal,10,L2684
EXT-L2685,Weather,7,L2685
EXT-L2686,Normal,11,L2686
EXT-L2687,Weather,12,L2687
EXT-L2688,Normal,14,L2688
EXT-L2689,Weather,10,L2689
EXT-L2690,Weather,10,L2690
EXT-L2691,Normal,14,L2691
EXT-L2692,Weather,16,L2692
EXT-L2693,Normal,15,L2693
EXT-L2694,Weather,11,L2694
EXT-L2695,Weather,11,L2695
EXT-L2696,Weather,11,L2696
EXT-L2697,Weather,14,L2697
EXT-L2698,Weather,14,L2698
EXT-L2699,Normal,19,L2699
EXT-L2700,Normal,13,L2700
EXT-L2701,Weather,7,L2701
EXT-L2702,Normal,17,L2702
EXT-L2703,Normal,10,L2703
EXT-L2704,Normal,9,L2704
EXT-L2705,Weather,13,L2705
EXT-L2706,Normal,7,L2706
EXT-L2707,Weather,6,L2707
EXT-L2708,Normal,2,L2708
EXT-L2709,Normal,2,L2709
EXT-L2710,Normal,7,L2710
EXT-L2711,Normal,13,L2711
EXT-L2712,Normal,3,L2712
EXT-L2713,Weather,10,L2713
EXT-L2714,Weather,10,L2714
EXT-L2715,Normal,5,L2715
EXT-L2716,Normal,9,L2716
EXT-L2717,Normal,2,L2717
EXT-L2718,Normal,16,L2718
EXT-L2719,Weather,12,L2719
EXT-L2720,Weather,9,L2720
EXT-L2721,Normal,10,L2721
EXT-L2722,Weather,9,L2722
EXT-L2723,Weather,16,L2723
EXT-L2724,Weather,7,L2724
EXT-L2725,Normal,9,L2725
EXT-L2726,Normal,6,L2726
EXT-L2727,Normal,19,L2727
EXT-L2728,Weather,3,L2728
EXT-L2729,Weather,10,L2729
EXT-L2730,Weather,8,L2730
EXT-L2731,Weather,11,L2731
EXT-L2732,Normal,15,L2732
EXT-L2733,Normal,10,L2733
EXT-L2734,Weather,10,L2734
EXT-L2735,Weather,14,L2735
EXT-L2736,Weather,11,L2736
EXT-L2737,Weather,13,L2737
EXT-L2738,Weather,6,L2738
EXT-L2739,Weather,13,L2739
EXT-L2740,Weather,9,L2740
EXT-L2741,Weather,12,L2741
EXT-L2742,Weather,8,L2742
EXT-L2743,Weather,13,L2743
EXT-L2744,Weather,11,L2744
EXT-L2745,Normal,10,L2745
EXT-L2746,Normal,8,L2746
EXT-L2747,Normal,9,L2747
EXT-L2748,Weather,14,L2748
EXT-L2749,Weather,15,L2749
EXT-L2750,Normal,11,L2750
EXT-L2751,Normal,2,L2751
EXT-L2752,Normal,10,L2752
EXT-L2753,Normal,14,L2753
EXT-L2754,Normal,10,L2754
EXT-L2755,Normal,2,L2755
EXT-L2756,Weather,8,L2756
EXT-L2757,Normal,16,L2757
EXT-L2758,Normal,2,L2758
EXT-L2759,Weather,7,L2759
EXT-L2760,Weather,12,L2760
EXT-L2761,Normal,11,L2761
EXT-L2762,Normal,13,L2762
EXT-L2763,Weather,9,L2763
EXT-L2764,Normal,6,L2764
EXT-L2765,Normal,15,L2765
EXT-L2766,Normal,14,L2766
EXT-L2767,Normal,14,L2767
EXT-L2768,Normal,11,L2768
EXT-L2769,Normal,7,L2769
EXT-L2770,Normal,10,L2770
EXT-L2771,Normal,8,L2771
EXT-L2772,Normal,22,L2772
EXT-L2773,Normal,12,L2773
EXT-L2774,Normal,15,L2774
EXT-L2775,Normal,2,L2775
EXT-L2776,Normal,9,L2776
EXT-L2777,Normal,8,L2777
EXT-L2778,Normal,9,L2778
EXT-L2779,Normal,4,L2779
EXT-L2780,Normal,6,L2780
EXT-L2781,Weather,7,L2781
EXT-L2782,Weather,12,L2782
EXT-L2783,Weather,12,L2783
EXT-L2784,Weather,14,L2784
EXT-L2785,Weather,12,L2785
EXT-L2786,Weather,8,L2786
EXT-L2787,Normal,13,L2787
EXT-L2788,Normal,11,L2788
EXT-L2789,Normal,2,L2789
EXT-L2790,Normal,3,L2790
EXT-L2791,Normal,2,L2791
EXT-L2792,Normal,12,L2792
EXT-L2793,Weather,10,L2793
EXT-L2794,Weather,11,L2794
EXT-L2795,Normal,7,L2795
EXT-L2796,Normal,9,L2796
EXT-L2797,Normal,17,L2797
EXT-L2798,Normal,15,L2798
EXT-L2799,Weather,10,L2799
EXT-L2800,Weather,11,L2800
EXT-L2801,Normal,13,L2801
EXT-L2802,Weather,6,L2802
EXT-L2803,Weather,8,L2803
EXT-L2804,Normal,8,L2804
EXT-L2805,Normal,12,L2805
EXT-L2806,Weather,12,L2806
EXT-L2807,Weather,13,L2807
EXT-L2808,Weather,12,L2808
EXT-L2809,Weather,9,L2809
EXT-L2810,Normal,15,L2810
EXT-L2811,Normal,21,L2811
EXT-L2812,Weather,13,L2812
EXT-L2813,Normal,12,L2813
EXT-L2814,Normal,3,L2814
EXT-L2815,Normal,8,L2815
EXT-L2816,Weather,7,L2816
EXT-L2817,Weather,10,L2817
EXT-L2818,Weather,9,L2818
EXT-L2819,Weather,9,L2819
EXT-L2820,Weather,11,L2820
EXT-L2821,Weather,12,L2821
EXT-L2822,Weather,11,L2822
EXT-L2823,Normal,15,L2823
EXT-L2824,Normal,10,L2824
EXT-L2825,Normal,11,L2825
EXT-L2826,Normal,19,L2826
EXT-L2827,Normal,9,L2827
EXT-L2828,Weather,23,L2828
EXT-L2829,Normal,2,L2829
EXT-L2830,Normal,7,L2830
EXT-L2831,Normal,15,L2831
EXT-L2832,Normal,11,L2832
EXT-L2833,Normal,29,L2833
EXT-L2834,Weather,11,L2834
EXT-L2835,Weather,7,L2835
EXT-L2836,Normal,10,L2836
EXT-L2837,Normal,17,L2837
EXT-L2838,Normal,4,L2838
EXT-L2839,Normal,15,L2839
EXT-L2840,Weather,15,L2840
EXT-L2841,Weather,16,L2841
EXT-L2842,Weather,14,L2842
EXT-L2843,Weather,13,L2843
EXT-L2844,Weather,11,L2844
EXT-L2845,Weather,10,L2845
EXT-L2846,Weather,16,L2846
EXT-L2847,Normal,5,L2847
EXT-L2848,Normal,3,L2848
EXT-L2849,Normal,10,L2849
EXT-L2850,Normal,16,L2850
EXT-L2851,Weather,10,L2851
EXT-L2852,Weather,12,L2852
EXT-L2853,Normal,6,L2853
EXT-L2854,Weather,12,L2854
EXT-L2855,Weather,11,L2855
EXT-L2856,Normal,10,L2856
EXT-L2857,Normal,1,L2857
EXT-L2858,Normal,13,L2858
EXT-L2859,Normal,4,L2859
EXT-L2860,Weather,18,L2860
EXT-L2861,Weather,10,L2861
EXT-L2862,Weather,11,L2862
EXT-L2863,Normal,12,L2863
EXT-L2864,Weather,10,L2864
EXT-L2865,Weather,11,L2865
EXT-L2866,Normal,14,L2866
EXT-L2867,Weather,11,L2867
EXT-L2868,Weather,12,L2868
EXT-L2869,Weather,13,L2869
EXT-L2870,Normal,19,L2870
EXT-L2871,Normal,12,L2871
EXT-L2872,Normal,2,L2872
EXT-L2873,Normal,2,L2873
EXT-L2874,Normal,2,L2874
EXT-L2875,Normal,8,L2875
EXT-L2876,Normal,11,L2876
EXT-L2877,Weather,11,L2877
EXT-L2878,Weather,9,L2878
EXT-L2879,Weather,15,L2879
EXT-L2880,Weather,11,L2880
EXT-L2881,Weather,13,L2881
EXT-L2882,Normal,10,L2882
EXT-L2883,Weather,9,L2883
EXT-L2884,Weather,11,L2884
EXT-L2885,Weather,7,L2885
EXT-L2886,Normal,17,L2886
EXT-L2887,Normal,9,L2887
EXT-L2888,Weather,10,L2888
EXT-L2889,Normal,31,L2889
EXT-L2890,Normal,13,L2890
EXT-L2891,Normal,9,L2891
EXT-L2892,Normal,8,L2892
EXT-L2893,Weather,14,L2893
EXT-L2894,Weather,11,L2894
EXT-L2895,Normal,15,L2895
EXT-L2896,Weather,11,L2896
EXT-L2897,Normal,6,L2897
EXT-L2898,Normal,2,L2898
EXT-L2899,Normal,5,L2899
EXT-L2900,Normal,5,L2900
EXT-L2901,Weather,10,L2901
EXT-L2902,Normal,8,L2902
EXT-L2903,Weather,14,L2903
EXT-L2904,Weather,12,L2904
EXT-L2905,Weather,9,L2905
EXT-L2906,Normal,12,L2906
EXT-L2907,Normal,9,L2907
EXT-L2908,Weather,12,L2908
EXT-L2909,Weather,13,L2909
EXT-L2910,Normal,5,L2910
EXT-L2911,Normal,12,L2911
EXT-L2912,Normal,8,L2912
EXT-L2913,Weather,14,L2913
EXT-L2914,Weather,7,L2914
EXT-L2915,Weather,7,L2915
EXT-L2916,Weather,11,L2916
EXT-L2917,Weather,8,L2917
EXT-L2918,Normal,9,L2918
EXT-L2919,Normal,9,L2919
EXT-L2920,Normal,6,L2920
EXT-L2921,Weather,12,L2921
EXT-L2922,Weather,10,L2922
EXT-L2923,Normal,13,L2923
EXT-L2924,Weather,11,L2924
EXT-L2925,Weather,9,L2925
EXT-L2926,Weather,11,L2926
EXT-L2927,Normal,2,L2927
EXT-L2928,Normal,9,L2928
EXT-L2929,Normal,4,L2929
EXT-L2930,Weather,6,L2930
EXT-L2931,Weather,5,L2931
EXT-L2932,Normal,13,L2932
EXT-L2933,Normal,6,L2933
EXT-L2934,Weather,13,L2934
EXT-L2935,Normal,7,L2935
EXT-L2936,Weather,11,L2936
EXT-L2937,Weather,13,L2937
EXT-L2938,Weather,11,L2938
EXT-L2939,Weather,11,L2939
EXT-L2940,Normal,3,L2940
EXT-L2941,Normal,22,L2941
EXT-L2942,Normal,2,L2942
